
    BEFORE APP OPTIMIZATION
	№ | Xms==Xmx  | 		Result 	   |
	1 |    256m   | OutOfMemoryError   |
	2 |    1024m  | msec:10847, sec:10 |
	3 |    1280m  | msec:10794, sec:10 |
	4 |    1536m  | msec:10566, sec:10 |
	5 |    1664m  | msec:10419, sec:10 |
	6 |    1728m  | msec:10464, sec:10 |
	7 |    1760m  | msec:10529, sec:10 |
	8 |    1776m  | msec:9853, sec:9   | !!! OPTIMAL HEAP SIZE = 1776m
	9 |    1792m  | msec:9857, sec:9   |
	10|    1808m  | msec:9882, sec:9   |
	11|    1824m  | msec:9889, sec:9   |
    12|    1856m  | msec:10092, sec:10 |
	13|    2048m  | msec:10418, sec:10 |
	14|    2112m  | msec:10747, sec:10 |
	15|    2304m  | msec:10912, sec:10 |
	16|    2560m  | msec:10469, sec:10 |
	17|    3072m  | msec:10955, sec:10 |


    AFTER APP OPTIMIZATION
	№ | Xms==Xmx  | 		Result 	   |
	1 |    256m   | OutOfMemoryError   |
	2 |    320m   | msec:4649, sec:4   |
	3 |    352m   | msec:4738, sec:4   |
	4 |    368m   | msec:3327, sec:3   |
	5 |    376m   | msec:3304, sec:3   | !!! OPTIMAL HEAP SIZE = 376m
	6 |    384m   | msec:3309, sec:3   |
	7 |    512m   | msec:3381, sec:3   |


